series,m,b
07220920_0925, -0.045, 195.0
07220920_2052, -0.045, 195.0
07220921_0915, -0.045, 195.0
07220420_0842, -0.093, 383.0
07220421_1010, -0.087, 357.0
07220422_1250, -0.089, 384.0
07220425_0722, -0.100, 420.0
07220425_1144, -0.110, 460.0
07220425_1621, -0.093, 400.0
07220425_2032, -0.073, 352.0
07220426_1120, -0.107, 433.0
07220426_2022, -0.095, 403.0
07220427_1630, -0.108, 447.0
07220428_1659, -0.095, 430.0
07220503_0851, -0.094, 461.0
07220510_1115, -0.098, 518.0
07220703_2005, -0.075, 425.0
07220706_0836, -0.091, 450.0
07220706_1254, -0.094, 496.0
07220706_1652, -0.114, 536.0
07220706_2041, -0.110, 530.0
07220707_0632, -0.105, 523.0
07220707_1748, -0.090, 485.0
07220707_2149, -0.104, 519.0
07220708_0826, -0.089, 476.0
07220708_1618, -0.082, 437.0
07220709_0926, -0.109, 542.0
07220709_1415, -0.103, 536.0
07220703_2143, -0.086, 458.0
07220708_2207, -0.098, 515.0
07220711_1649, -0.099, 523.0
07220712_1016, -0.108, 523.0
07220826_1536, -0.100, 315.0
07220826_2007, -0.077, 293.0
07220827_1153, -0.075, 300.0
07220830_1724, -0.100, 377.0
07220830_2033, -0.091, 374.0
07220831_1002, -0.087, 358.0
07220831_1846, -0.071, 320.0
07220909_2023, -0.094, 382.0
07220910_1210, -0.092, 376.0
07220910_1517, -0.092, 363.0
07220912_1955, -0.096, 400.0
07220913_0814, -0.100, 400.0
07220913_1457, -0.094, 369.0
07220914_1133, -0.096, 379.0
07220916_2059, -0.048, 201.0
07220917_1039, -0.05, 207.0
07220917_2125, -0.048, 203.0
07220919_1723, -0.045, 195.0
07220919_2012, -0.045, 195.0
07220920_1007, -0.045, 195.0
07220920_2138, -0.045, 195.0
07220921_1034, -0.045, 195.0
07220921_1631, -0.045, 195.0
07220921_2055, -0.025, 128.8
07220925_1006, -0.035, 118.0
07220925_1056, -0.035, 118.0
07220925_1320, -0.035, 118.0
07220925_1649, -0.051666666666666666, 179.16666666666666
07220925_1737, -0.051666666666666666, 179.16666666666666
07221001_2314, -0.0525, 196.0
07221017_1600, -0.046875, 183.75
07221019_1741, -0.046, 133.0
07221019_1832, -0.046, 133.0
07221019_2157, -0.046, 133.0
07221019_2240, -0.046, 133.0
07221020_0849, -0.047, 137.0
07221020_0954, -0.047, 137.0
07221020_1846, -0.047, 137.0
07221020_1948, -0.047, 137.0
07221025_1751, -0.052, 191.0
07221025_1956, -0.052, 191.0
07221027_0915, -0.052, 191.0
07221027_0959, -0.052, 191.0
07221111_2153, -0.052, 191.0
07221111_2249, -0.052, 191.0
07221112_0943, -0.048666666666666664, 195.66666666666666
07221112_1127, -0.048666666666666664, 195.66666666666666
07221112_2249, -0.048666666666666664, 195.66666666666666
07221113_0000, -0.036, 169.0
07221113_1159, -0.036, 169.0
07221114_2141, -0.049, 210.0
07221114_2223, -0.049, 210.0
07221115_0845, -0.049, 210.0
07221115_0919, -0.049, 210.0
07221115_2109, -0.058333333333333334, 233.66666666666666
07221115_2201, -0.058333333333333334, 233.66666666666666
07221116_1003, -0.059166666666666666, 235.33333333333334
07221116_1048, -0.059166666666666666, 235.33333333333334
07221118_1404, -0.0525, 220.0
07221118_1850, -0.056666666666666664, 230.33333333333331
07221119_1016, -0.058, 239.0
07221124_1408, -0.030666666666666665, 106.93333333333334
07221124_1603, -0.030666666666666665, 106.93333333333334
07221124_1748, -0.030666666666666665, 106.93333333333334
07221124_2022, -0.030666666666666665, 106.93333333333334
07221124_2331, -0.030666666666666665, 106.93333333333334
07220921_1541, -0.045, 195
07221026_0951, -0.052, 191
07221026_2145, -0.052, 191